rec,presence,site,year,month,day,hour,minute,species,songtype
20200317_190000.flac,1,Yat1,2020,3,17,19,0,sp44,Nocturnal Song
20200317_193000.flac,1,Yat1,2020,3,17,19,30,sp44,Nocturnal Song
20200317_200000.flac,0,Yat1,2020,3,17,20,0,sp44,Nocturnal Song
20200317_203000.flac,1,Yat1,2020,3,17,20,30,sp44,Nocturnal Song
20200317_210000.flac,0,Yat1,2020,3,17,21,0,sp44,Nocturnal Song
20200317_213000.flac,0,Yat1,2020,3,17,21,30,sp44,Nocturnal Song
20200317_220000.flac,0,Yat1,2020,3,17,22,0,sp44,Nocturnal Song
20200317_223000.flac,0,Yat1,2020,3,17,22,30,sp44,Nocturnal Song
20200317_230000.flac,0,Yat1,2020,3,17,23,0,sp44,Nocturnal Song
20200317_233000.flac,0,Yat1,2020,3,17,23,30,sp44,Nocturnal Song
20200318_180000.flac,0,Yat1,2020,3,18,18,0,sp44,Nocturnal Song
20200318_183000.flac,1,Yat1,2020,3,18,18,30,sp44,Nocturnal Song
20200318_190000.flac,1,Yat1,2020,3,18,19,0,sp44,Nocturnal Song
20200318_193000.flac,1,Yat1,2020,3,18,19,30,sp44,Nocturnal Song
20200318_200000.flac,1,Yat1,2020,3,18,20,0,sp44,Nocturnal Song
20200318_203000.flac,1,Yat1,2020,3,18,20,30,sp44,Nocturnal Song
20200318_210000.flac,0,Yat1,2020,3,18,21,0,sp44,Nocturnal Song
20200318_213000.flac,0,Yat1,2020,3,18,21,30,sp44,Nocturnal Song
20200318_220000.flac,0,Yat1,2020,3,18,22,0,sp44,Nocturnal Song
20200318_223000.flac,0,Yat1,2020,3,18,22,30,sp44,Nocturnal Song
20200318_230000.flac,0,Yat1,2020,3,18,23,0,sp44,Nocturnal Song
20200318_233000.flac,0,Yat1,2020,3,18,23,30,sp44,Nocturnal Song
20200319_180000.flac,0,Yat1,2020,3,19,18,0,sp44,Nocturnal Song
20200319_190000.flac,1,Yat1,2020,3,19,19,0,sp44,Nocturnal Song
20200319_193000.flac,0,Yat1,2020,3,19,19,30,sp44,Nocturnal Song
20200319_200000.flac,0,Yat1,2020,3,19,20,0,sp44,Nocturnal Song
20200319_203000.flac,1,Yat1,2020,3,19,20,30,sp44,Nocturnal Song
20200319_210000.flac,1,Yat1,2020,3,19,21,0,sp44,Nocturnal Song
20200319_213000.flac,0,Yat1,2020,3,19,21,30,sp44,Nocturnal Song
20200319_220000.flac,0,Yat1,2020,3,19,22,0,sp44,Nocturnal Song
20200319_223000.flac,0,Yat1,2020,3,19,22,30,sp44,Nocturnal Song
20200319_230000.flac,0,Yat1,2020,3,19,23,0,sp44,Nocturnal Song
20200319_183000.flac,1,Yat1,2020,3,19,18,30,sp44,Nocturnal Song
20200319_233000.flac,0,Yat1,2020,3,19,23,30,sp44,Nocturnal Song
20200320_180000.flac,0,Yat1,2020,3,20,18,0,sp44,Nocturnal Song
20200320_183000.flac,0,Yat1,2020,3,20,18,30,sp44,Nocturnal Song
20200320_190000.flac,0,Yat1,2020,3,20,19,0,sp44,Nocturnal Song
20200320_193000.flac,0,Yat1,2020,3,20,19,30,sp44,Nocturnal Song
20200320_200000.flac,0,Yat1,2020,3,20,20,0,sp44,Nocturnal Song
20200320_203000.flac,0,Yat1,2020,3,20,20,30,sp44,Nocturnal Song
20200320_210000.flac,0,Yat1,2020,3,20,21,0,sp44,Nocturnal Song
20200320_213000.flac,0,Yat1,2020,3,20,21,30,sp44,Nocturnal Song
