id,recording,site,year,month,day,hour,min,species,songtype,validated
84963196,20200307_200000.flac,Yat1,2020,3,7,20,0,sp46,Common Song,present
84963201,20200824_110000.flac,Yat1,2020,8,24,11,0,sp46,Common Song,not present
84963206,20200804_193000.flac,Yat1,2020,8,4,19,30,sp46,Common Song,present
84963211,20200810_233000.flac,Yat1,2020,8,10,23,30,sp46,Common Song,present
84963217,20200709_000000.flac,Yat1,2020,7,9,0,0,sp46,Common Song,present
84963219,20200624_210000.flac,Yat1,2020,6,24,21,0,sp46,Common Song,present
84963235,20200307_203000.flac,Yat1,2020,3,7,20,30,sp46,Common Song,present
84963236,20200427_213000.flac,Yat1,2020,4,27,21,30,sp46,Common Song,present
84963238,20200804_200000.flac,Yat1,2020,8,4,20,0,sp46,Common Song,present
84963252,20200723_073000.flac,Yat1,2020,7,23,7,30,sp46,Common Song,not present
84963253,20200624_213000.flac,Yat1,2020,6,24,21,30,sp46,Common Song,present
84963264,20200409_060000.flac,Yat1,2020,4,9,6,0,sp46,Common Song,not present
84963265,20200427_223000.flac,Yat1,2020,4,27,22,30,sp46,Common Song,present
84963280,20200402_210000.flac,Yat1,2020,4,2,21,0,sp46,Common Song,present
84963283,20200817_080000.flac,Yat1,2020,8,17,8,0,sp46,Common Song,not present
84963286,20200624_220000.flac,Yat1,2020,6,24,22,0,sp46,Common Song,present
84963308,20200402_213000.flac,Yat1,2020,4,2,21,30,sp46,Common Song,present
84963317,20200624_223000.flac,Yat1,2020,6,24,22,30,sp46,Common Song,present
84963330,20200427_233000.flac,Yat1,2020,4,27,23,30,sp46,Common Song,present
84963337,20200402_220000.flac,Yat1,2020,4,2,22,0,sp46,Common Song,present
84963340,20201006_063000.flac,Yat1,2020,10,6,6,30,sp46,Common Song,not present
84963344,20200624_230000.flac,Yat1,2020,6,24,23,0,sp46,Common Song,present
84963346,20200321_150000.flac,Yat1,2020,3,21,15,0,sp46,Common Song,not present
84963349,20200723_090000.flac,Yat1,2020,7,23,9,0,sp46,Common Song,not present
84963365,20200824_073000.flac,Yat1,2020,8,24,7,30,sp46,Common Song,not present
84963369,20201006_070000.flac,Yat1,2020,10,6,7,0,sp46,Common Song,not present
84963375,20200327_190000.flac,Yat1,2020,3,27,19,0,sp46,Common Song,present
84963378,20200624_233000.flac,Yat1,2020,6,24,23,30,sp46,Common Song,present
84963384,20200409_080000.flac,Yat1,2020,4,9,8,0,sp46,Common Song,not present
84963398,20200402_230000.flac,Yat1,2020,4,2,23,0,sp46,Common Song,present
84963402,20200629_180000.flac,Yat1,2020,6,29,18,0,sp46,Common Song,present
84963408,20200327_193000.flac,Yat1,2020,3,27,19,30,sp46,Common Song,present
84963412,20200625_000000.flac,Yat1,2020,6,25,0,0,sp46,Common Song,present
84963430,20201006_080000.flac,Yat1,2020,10,6,8,0,sp46,Common Song,present
84963433,20200421_200000.flac,Yat1,2020,4,21,20,0,sp46,Common Song,present
84963435,20200301_190000.flac,Yat1,2020,3,1,19,0,sp46,Common Song,present
84963443,20200327_200000.flac,Yat1,2020,3,27,20,0,sp46,Common Song,present
84963445,20200625_003000.flac,Yat1,2020,6,25,0,30,sp46,Common Song,present
84963452,20200321_170000.flac,Yat1,2020,3,21,17,0,sp46,Common Song,not present
